,都道府県,都市,人口2015,人口2020,年少人口,生産年齢人口,老年人口,人口増加率,年少人口増加率,生産年齢人口増加率,老年人口増加率,出生数,死亡数,転入数,転出数,出生数増加率,死亡数増加率,転入数増加率,転出数増加率,地元進学男性,地元進学女性,地元就職男性,地元就職女性,流出進学男性,流出進学女性,流出就職男性,流出就職女性,流入進学男性,流入進学女性,流入就職男性,流入就職女性,有効求職者数（男性）,有効求職者数（女性）,有効求人数,就職件数
54,北海道,寿都町,3137,2838,258,1411,1167,-9.52,-19.11,-14.89,0.6,15,47,118,148,0.8333333333333334,0.8392857142857143,0.7919463087248322,0.7668393782383419,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
55,北海道,黒松内町,3082,2791,304,1385,1102,-9.43,-12.63,-12.5,-4.25,8,43,148,163,0.6666666666666666,0.9148936170212766,1.0962962962962963,0.9314285714285714,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
56,北海道,蘭越町,4843,4568,453,2285,1828,-5.67,-10.46,-9.89,1.5,31,95,222,219,1.2916666666666667,1.1875,1.3214285714285714,1.140625,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
57,北海道,ニセコ町,4958,5074,619,2797,1307,2.34,-5.05,-3.31,-1.12,43,57,444,679,1.1025641025641026,1.0961538461538463,0.8361581920903954,1.6642156862745099,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
58,北海道,真狩村,2103,2045,242,1098,705,-2.75,1.26,-5.74,1.0,13,29,98,151,1.0,0.7837837837837838,1.2727272727272727,1.3482142857142858,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
59,北海道,留寿都村,1907,1911,234,1184,493,0.21,-3.69,-1.49,6.71,15,18,175,305,1.0,0.8571428571428571,0.6704980842911877,1.6850828729281768,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
60,北海道,喜茂別町,2294,2156,177,1044,805,-6.01,-14.48,-13.28,-7.03,12,39,109,146,1.5,1.054054054054054,0.8861788617886179,0.9182389937106918,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
61,北海道,京極町,3187,2941,297,1446,1114,-7.71,-23.44,-12.09,-2.61,19,54,142,160,1.2666666666666666,1.2857142857142858,1.4343434343434343,1.28,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
62,北海道,倶知安町,15018,15129,1941,9096,3731,0.74,-8.65,0.0,0.62,132,121,1494,2444,0.8741721854304636,0.8897058823529411,0.763023493360572,1.8225205070842654,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
63,北海道,共和町,6224,5772,650,3273,1826,-7.25,-9.84,-10.81,0.11,43,83,227,315,0.8775510204081632,1.1369863013698631,0.9700854700854701,0.8974358974358975,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
64,北海道,岩内町,13042,11648,1106,6157,4364,-10.68,-19.08,-14.96,-0.99,58,217,375,546,0.7532467532467533,0.9434782608695652,0.8561643835616438,0.8666666666666667,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
65,北海道,泊村,1771,1569,147,797,625,-11.4,-24.61,-16.18,0.0,9,41,48,71,1.5,1.64,0.6153846153846154,0.9342105263157895,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
66,北海道,神恵内村,1004,870,65,357,448,-13.34,-16.66,-23.71,-2.17,4,20,20,29,1.0,1.0,0.8695652173913043,0.9354838709677419,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
67,北海道,積丹町,2115,1831,148,823,859,-13.42,-22.5,-17.36,-7.23,4,39,46,75,0.36363636363636365,0.78,0.7301587301587301,0.7653061224489796,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
68,北海道,古平町,3188,2745,207,1297,1154,-13.89,-18.17,-20.95,-10.81,3,55,43,106,0.21428571428571427,1.0185185185185186,0.5657894736842105,0.8833333333333333,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
69,北海道,仁木町,3498,3180,344,1554,1282,-9.08,-1.98,-15.85,-1.37,19,56,197,194,1.2666666666666666,0.875,0.7163636363636363,0.6598639455782312,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
70,北海道,余市町,19607,18000,1667,9020,7260,-8.19,-16.43,-13.69,1.82,89,290,611,713,1.0348837209302326,0.9508196721311475,0.7813299232736572,0.8652912621359223,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
71,北海道,赤井川村,1121,1165,131,673,361,3.93,-5.75,8.9,-0.81,7,16,123,159,1.1666666666666667,1.4545454545454546,1.0982142857142858,1.7865168539325842,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
72,北海道,南幌町,7927,7319,693,4057,2555,-7.66,-6.21,-15.91,8.17,37,91,321,278,0.9024390243902439,1.2133333333333334,1.4078947368421053,0.7128205128205128,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
73,北海道,奈井江町,5674,5120,439,2490,2189,-9.75,-14.91,-15.44,-1.03,21,87,155,190,1.0,0.8446601941747572,0.8611111111111112,0.9947643979057592,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
74,北海道,上砂川町,3479,2841,182,1201,1458,-18.33,-29.45,-23.35,-11.84,11,69,74,89,0.9166666666666666,0.8518518518518519,0.74,0.5174418604651163,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
75,北海道,由仁町,5314,4822,401,2324,2044,-9.25,-25.45,-16.18,2.05,16,82,126,188,0.5714285714285714,0.9425287356321839,0.8811188811188811,1.0621468926553672,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
76,北海道,長沼町,11076,10289,1010,5280,3969,-7.1,-13.37,-12.93,3.36,51,145,333,373,1.1333333333333333,0.9863945578231292,0.8538461538461538,0.8614318706697459,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
77,北海道,栗山町,12344,11272,1083,5528,4636,-8.67,-15.18,-14.59,0.91,62,186,394,433,0.9538461538461539,0.9946524064171123,0.9471153846153846,0.8591269841269841,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
78,北海道,月形町,4577,3691,214,2064,1376,-19.35,-20.14,-27.31,-6.26,12,69,125,198,1.0,1.2545454545454546,0.8333333333333334,1.0259067357512954,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
79,北海道,浦臼町,1985,1732,173,781,777,-12.74,-12.17,-23.35,1.04,7,30,57,70,0.875,0.9375,0.95,0.8641975308641975,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
80,北海道,新十津川町,6831,6484,719,3099,2666,-5.07,-4.76,-9.98,1.33,27,95,251,167,0.627906976744186,0.9223300970873787,1.3072916666666667,0.8520408163265306,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
81,北海道,妹背牛町,3091,2693,217,1207,1269,-12.87,-20.79,-17.77,-5.92,7,56,55,75,0.4375,1.2444444444444445,0.6790123456790124,0.7281553398058253,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
82,北海道,秩父別町,2513,2329,229,1093,985,-7.31,0.88,-11.49,-6.27,14,37,67,80,0.7777777777777778,0.9487179487179487,1.3137254901960784,0.7476635514018691,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
83,北海道,雨竜町,2749,2389,194,1186,1009,-13.09,-25.94,-17.91,-3.16,4,45,54,77,0.5,1.125,0.7397260273972602,0.7,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
84,北海道,北竜町,1981,1724,162,787,775,-12.96,-9.49,-16.44,-9.87,10,41,41,52,1.0,1.1714285714285715,0.9111111111111111,0.7878787878787878,10.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,423669,549740,930410,45598
